partNumber,Vendor,EffectiveDate,Meter Category,Instance Series,Instance Name,vCPU,RAM,Temporary Storage,Temporary Storage Type,Instance Family,Size,Tenancy,Reservation Type,Reservation Length,Meter Region,Operating System,Licence Model,Azure Environment,Azure Priority,Azure Source,Azure Hosting Type,Pricing ,Unit,Rate,Currency,Normalised Rate,Description
MHE876BECSEWYB9P.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.067 ,USD, $0.08 ,
VTCZZKEMHEBNSJMY.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.106 ,USD, $0.13 ,
VTCZZKEMHEBNSJMY.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.095 ,USD, $0.12 ,
VTCZZKEMHEBNSJMY.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.131 ,USD, $0.16 ,
2S8DYJ894B83Y6TD.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.036 ,USD, $0.04 ,
2S8DYJ894B83Y6TD.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.029 ,USD, $0.04 ,
2S8DYJ894B83Y6TD.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.066 ,USD, $0.08 ,
79GBP9ZDV94DUPWQ.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.081 ,USD, $0.10 ,
79GBP9ZDV94DUPWQ.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.076 ,USD, $0.09 ,
79GBP9ZDV94DUPWQ.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.093 ,USD, $0.11 ,
